Organism,Genus,G.Size (MB),G.Size (pg),Angiosperm Group
Phalaenopsis lueddemanniana,Phalaenopsis,3178.5,3.25,Monocot
Phalaenopsis fasciata,Phalaenopsis,3207.84,3.28,Monocot
Phalaenopsis sumatrana,Phalaenopsis,3237.18,3.31,Monocot
Phalaenopsis venosa,Phalaenopsis,4655.28,4.76,Monocot
Phalaenopsis mannii,Phalaenopsis,6601.5,6.75,Monocot
Phalaenopsis amboinensis,Phalaenopsis,7022.04,7.18,Monocot
Phalaenopsis bellina,Phalaenopsis,7354.56,7.52,Monocot
Phalaenopsis parishii,Phalaenopsis,8127.18,8.31,Monocot
Phalaris coerulescens,Phalaris,1349.64,1.38,Monocot
Phalaris paradoxa,Phalaris,1711.5,1.75,Monocot
Phalaris caroliniana,Phalaris,1956,2,Monocot
Phalaris angusta,Phalaris,1985.34,2.03,Monocot
Phalaris truncata,Phalaris,3061.14,3.13,Monocot
Phalaris brachystachys,Phalaris,3618.6,3.7,Monocot
Phalaris canariensis,Phalaris,3745.74,3.83,Monocot
Phalaris tuberosa,Phalaris,3912,4,Monocot
Phalaris arundinacea,Phalaris,4039.14,4.13,Monocot
Phalaris californica,Phalaris,4185.84,4.28,Monocot
Phalaris minor,Phalaris,4401,4.5,Monocot
Phalaris arundinacea,Phalaris,5574.6,5.7,Monocot
Phalaris aquatica,Phalaris,6308.1,6.45,Monocot
Phaseolus macvaughii,Phaseolus,440.1,0.45,Eudicot
Phaseolus microcarpus,Phaseolus,508.56,0.52,Eudicot
Phaseolus oligospermus,Phaseolus,518.34,0.53,Eudicot
Phaseolus leptostachyus,Phaseolus,518.34,0.53,Eudicot
Phaseolus augustii,Phaseolus,567.24,0.58,Eudicot
Phaseolus filiformis,Phaseolus,567.24,0.58,Eudicot
Phaseolus pedicellatus,Phaseolus,567.24,0.58,Eudicot
Phaseolus vulgaris,Phaseolus,586.8,0.6,Eudicot
Phaseolus esperanzae,Phaseolus,586.8,0.6,Eudicot
Phaseolus sonorensis,Phaseolus,586.8,0.6,Eudicot
Phaseolus xanthotrichus,Phaseolus,586.8,0.6,Eudicot
Phaseolus micranthus,Phaseolus,586.8,0.6,Eudicot
Phaseolus pachyrrhizoides,Phaseolus,616.14,0.63,Eudicot
Phaseolus leptostachys,Phaseolus,616.14,0.63,Eudicot
Phaseolus maculatus,Phaseolus,635.7,0.65,Eudicot
Phaseolus macrolepis,Phaseolus,635.7,0.65,Eudicot
Phaseolus parviflorus,Phaseolus,635.7,0.65,Eudicot
Phaseolus angustissimus,Phaseolus,645.48,0.66,Eudicot
Phaseolus hintonii,Phaseolus,665.04,0.68,Eudicot
Phaseolus coccineus,Phaseolus,665.04,0.68,Eudicot
Phaseolus jaliscanus,Phaseolus,665.04,0.68,Eudicot
Phaseolus xolocotzii,Phaseolus,665.04,0.68,Eudicot
Phaseolus lunatus,Phaseolus,684.6,0.7,Eudicot
Phaseolus neglectus,Phaseolus,684.6,0.7,Eudicot
Phaseolus marechalii,Phaseolus,713.94,0.73,Eudicot
Phaseolus polyanthus,Phaseolus,713.94,0.73,Eudicot
Phaseolus pauciflorus,Phaseolus,713.94,0.73,Eudicot
Phaseolus acutifolius,Phaseolus,733.5,0.75,Eudicot
Phaseolus glabellus,Phaseolus,880.2,0.9,Eudicot
Phaseolus pluriflorus,Phaseolus,929.1,0.95,Eudicot
Phaseolus grayanus,Phaseolus,929.1,0.95,Eudicot
Phaseolus lathyroides,Phaseolus,1124.7,1.15,Eudicot
Phaseolus geophillus,Phaseolus,1271.4,1.3,Eudicot
Phaseolus angularis,Phaseolus,1369.2,1.4,Eudicot
Phaseolus leucanthus,Phaseolus,1613.7,1.65,Eudicot
Phaseolus dumosus,Phaseolus,1858.2,1.9,Eudicot
Phelipanche nana,Phelipanche,3354.54,3.43,Eudicot
Phelipanche olbiensis,Phelipanche,3471.9,3.55,Eudicot
Phelipanche tunetana,Phelipanche,3912,4,Eudicot
Phelipanche mutelii,Phelipanche,4097.82,4.19,Eudicot
Phelipanche cf. gratiosa,Phelipanche,4117.38,4.21,Eudicot
Phelipanche pulchella,Phelipanche,4176.06,4.27,Eudicot
Phelipanche purpurea,Phelipanche,4322.76,4.42,Eudicot
Phelipanche portoilicitana,Phelipanche,4342.32,4.44,Eudicot
Phelipanche lavandulacea,Phelipanche,4371.66,4.47,Eudicot
Phelipanche coelestis,Phelipanche,4371.66,4.47,Eudicot
Phelipanche cf. coelestis,Phelipanche,4518.36,4.62,Eudicot
Phelipanche ramosa,Phelipanche,4606.38,4.71,Eudicot
Phelipanche hirtiflora,Phelipanche,4694.4,4.8,Eudicot
Phelipanche bungeana,Phelipanche,5300.76,5.42,Eudicot
Phelypaea coccinea,Phelypaea,2376.54,2.43,Eudicot
Phelypaea tournefortii,Phelypaea,5144.28,5.26,Eudicot
Philodendron andreanum,Philodendron,1173.6,1.2,Monocot
Philodendron pinnatafidum,Philodendron,2386.32,2.44,Monocot
Philodendron squamiferum,Philodendron,4547.7,4.65,Monocot
Philodendron selloum,Philodendron,4890,5,Monocot
Philodendron erubescens,Philodendron,5163.84,5.28,Monocot
Phleum rhaeticum,Phleum,1173.6,1.2,Monocot
Phleum commutatum,Phleum,1330.08,1.36,Monocot
Phleum bertolonii,Phleum,1662.6,1.7,Monocot
Phleum commutatum,Phleum,3031.8,3.1,Monocot
Phleum alpinum,Phleum,3158.94,3.23,Monocot
Phleum pratense,Phleum,4058.7,4.15,Monocot
Phlomis tuberosa,Phlomis,1975.56,2.02,Eudicot
Phoenix canariensis,Phoenix,880.2,0.9,Monocot
Phoenix dactylifera,Phoenix,929.1,0.95,Monocot
Phoenix theophrasti,Phoenix,1300.74,1.33,Monocot
Phoenix rupicola,Phoenix,1467,1.5,Monocot
Phoenix roebelenii,Phoenix,1496.34,1.53,Monocot
Pholidota inbricata,Pholidota,3012.24,3.08,Monocot
Phormium tenax,Phormium,743.28,0.76,Monocot
Photinea parvifolia,Photinea,1124.7,1.15,Eudicot
Phragmipedium longifolium,Phragmipedium,5965.8,6.1,Monocot
Phragmipedium pearcei,Phragmipedium,6190.74,6.33,Monocot
Phragmipedium besseae,Phragmipedium,6943.8,7.1,Monocot
Phragmipedium lindleyanum,Phragmipedium,7872.9,8.05,Monocot
Phragmipedium caudatum,Phragmipedium,8997.6,9.2,Monocot
Phragmites australis,Phragmites,978,1,Monocot
Phragmites communis,Phragmites,1105.14,1.13,Monocot
Phyllanthus distichus,Phyllanthus,978,1,Eudicot
Phyllis nobla,Phyllis,361.86,0.37,Eudicot
Phyllis viscosa,Phyllis,567.24,0.58,Eudicot
Phyllostachys aureus,Phyllostachys,2249.4,2.3,Monocot
Phyllostachys nigra,Phyllostachys,2640.6,2.7,Monocot
Phyllota phylicoides,Phyllota,919.32,0.94,Eudicot
Phyodina navicularis,Phyodina,25163.94,25.73,Monocot
Phyodina rosea,Phyodina,37799.7,38.65,Monocot
Physaria gracilis,Physaria,254.28,0.26,Eudicot
Physaria ovalifolia,Physaria,420.54,0.43,Eudicot
Physaria arctica,Physaria,674.82,0.69,Eudicot
Physaria didymocarpa,Physaria,2180.94,2.23,Eudicot
Physaria bellii,Physaria,2288.52,2.34,Eudicot
Physocarpus opulifolius,Physocarpus,195.6,0.2,Eudicot
Physocarpus bracteatus,Physocarpus,224.94,0.23,Eudicot
Physorhynchus chamaerapistrum,Physorhynchus,1212.72,1.24,Eudicot
Phytelephas aequatorialis,Phytelephas,958.44,0.98,Monocot
Phytelephas macrocarpa,Phytelephas,978,1,Monocot
Phyteuma orbiculare,Phyteuma,1114.92,1.14,Eudicot
Phytolacca dioica,Phytolacca,1271.4,1.3,Eudicot
Phytolacca rivinoides,Phytolacca,1271.4,1.3,Eudicot
Phytolacca bogotensis,Phytolacca,1369.2,1.4,Eudicot
Phytolacca americana,Phytolacca,1447.44,1.48,Eudicot
Phytolacca tetramera,Phytolacca,2718.84,2.78,Eudicot
Phytolacca esculenta,Phytolacca,2777.52,2.84,Eudicot
Picris echioides,Picris,1173.6,1.2,Eudicot
Picris hieracioides,Picris,1545.24,1.58,Eudicot
Picrorhiza kurrooa,Picrorhiza,1711.5,1.75,Eudicot
Pillansia templemanii,Pillansia,2298.3,2.35,Monocot
Pilosella lactucella,Pilosella,1995.12,2.04,Eudicot
Pilosocereus royenii,Pilosocereus,3188.28,3.26,Eudicot
Pimelea linifolia,Pimelea,3647.94,3.73,Eudicot
Pimenta pseudocariophyllus,Pimenta,254.28,0.26,Eudicot
Pimenta dioica,Pimenta,273.84,0.28,Eudicot
Pimpinella cumbrae,Pimpinella,2249.4,2.3,Eudicot
Pimpinella major,Pimpinella,3158.94,3.23,Eudicot
Pimpinella saxifraga,Pimpinella,3735.96,3.82,Eudicot
Pimpinella saxifraga,Pimpinella,5017.14,5.13,Eudicot
Pinanga celebica,Pinanga,6552.6,6.7,Monocot
Pinanga coronata,Pinanga,8655.3,8.85,Monocot
Pinanga subintegra,Pinanga,13594.2,13.9,Monocot
Pinellia pedatisecta,Pinellia,1193.16,1.22,Monocot
Pinellia tripartita,Pinellia,3442.56,3.52,Monocot
Pinguicula ehlersiae,Pinguicula,489,0.5,Eudicot
Pinguicula heterophylla,Pinguicula,518.34,0.53,Eudicot
Pinguicula cyclosecta,Pinguicula,518.34,0.53,Eudicot
Pinguicula gypsicola,Pinguicula,547.68,0.56,Eudicot
Pinguicula gracilis,Pinguicula,596.58,0.61,Eudicot
Pinguicula primuliflora,Pinguicula,665.04,0.68,Eudicot
Pinguicula macrophylla,Pinguicula,694.38,0.71,Eudicot
Pinguicula agnata,Pinguicula,743.28,0.76,Eudicot
Pinguicula emarginata,Pinguicula,792.18,0.81,Eudicot
Pinguicula esseriana,Pinguicula,831.3,0.85,Eudicot
Pintoa chilensis,Pintoa,2669.94,2.73,Eudicot
Piper longum,Piper,665.04,0.68,Basal Angiosperm
Piper betle,Piper,733.5,0.75,Basal Angiosperm
Piper ornatum,Piper,811.74,0.83,Basal Angiosperm
Piper sylvestre,Piper,958.44,0.98,Basal Angiosperm
Piper nigrum,Piper,1007.34,1.03,Basal Angiosperm
Piper argyrophyllum,Piper,1007.34,1.03,Basal Angiosperm
Piper apiculatum,Piper,1202.94,1.23,Basal Angiosperm
Piper arboreum,Piper,1515.9,1.55,Basal Angiosperm
Piper cernuum,Piper,2053.8,2.1,Basal Angiosperm
Piper nigrum,Piper,2347.2,2.4,Basal Angiosperm
Piptocalyx moorei,Piptocalyx,3990.24,4.08,Basal Angiosperm
Pistacia terebinthus,Pistacia,557.46,0.57,Eudicot
Pistacia lentiscus,Pistacia,586.8,0.6,Eudicot
Pistacia therebinthus,Pistacia,665.04,0.68,Eudicot
Pistia stratiotes,Pistia,322.74,0.33,Monocot
Pisum humile,Pisum,4332.54,4.43,Eudicot
Pisum elatius,Pisum,4332.54,4.43,Eudicot
Pisum fulvum,Pisum,4596.6,4.7,Eudicot
Pisum abyssinicum,Pisum,4625.94,4.73,Eudicot
Pisum sativum,Pisum,4772.64,4.88,Eudicot
Pitcairnia feliciana,Pitcairnia,293.4,0.3,Monocot
Pitcairnia prolifera,Pitcairnia,410.76,0.42,Monocot
Pitcairnia heterophylla,Pitcairnia,430.32,0.44,Monocot
Pitcairnia cardenasii,Pitcairnia,498.78,0.51,Monocot
Pitcairnia angustifolia,Pitcairnia,518.34,0.53,Monocot
Pitcairnia halophila,Pitcairnia,528.12,0.54,Monocot
Pitcairnia tabuliformis,Pitcairnia,537.9,0.55,Monocot
Pitcairnia micotrinensis,Pitcairnia,537.9,0.55,Monocot
Pitcairnia aureobrunnea,Pitcairnia,547.68,0.56,Monocot
Pitcairnia yaupibajaensis,Pitcairnia,547.68,0.56,Monocot
Pitcairnia riparia,Pitcairnia,557.46,0.57,Monocot
Pitcairnia heerdeae,Pitcairnia,577.02,0.59,Monocot
Pitcairnia palmoides,Pitcairnia,577.02,0.59,Monocot
Pitcairnia atrorubens,Pitcairnia,586.8,0.6,Monocot
Pitcairnia rectiflora,Pitcairnia,586.8,0.6,Monocot
Pitcairnia poeppigiana,Pitcairnia,586.8,0.6,Monocot
Pitcairnia sceptrigera,Pitcairnia,586.8,0.6,Monocot
Pitcairnia macrochlamys,Pitcairnia,586.8,0.6,Monocot
Pitcairnia piepenbringii,Pitcairnia,586.8,0.6,Monocot
Pitcairnia spicata,Pitcairnia,596.58,0.61,Monocot
Pitcairnia chiapensis,Pitcairnia,596.58,0.61,Monocot
Pitcairnia pomacochae,Pitcairnia,606.36,0.62,Monocot
Pitcairnia aphelandriflora,Pitcairnia,606.36,0.62,Monocot
Pitcairnia villetaensis,Pitcairnia,616.14,0.63,Monocot
Pitcairnia flammea,Pitcairnia,625.92,0.64,Monocot
Pitcairnia hitchcockiana,Pitcairnia,625.92,0.64,Monocot
Pitcairnia andreana,Pitcairnia,635.7,0.65,Monocot
Pitcairnia schultzei,Pitcairnia,645.48,0.66,Monocot
Pitcairnia grafii,Pitcairnia,655.26,0.67,Monocot
Pitcairnia venezuelana,Pitcairnia,665.04,0.68,Monocot
Pitcairnia paraguayensis,Pitcairnia,665.04,0.68,Monocot
Pittosporum tenuifolium,Pittosporum,449.88,0.46,Eudicot
Pittosporum tobira,Pittosporum,596.58,0.61,Eudicot
Planchonella eerwah,Planchonella,528.12,0.54,Eudicot
Plantago arborescens,Plantago,479.22,0.49,Eudicot
Plantago famarae,Plantago,489,0.5,Eudicot
Plantago ovata,Plantago,518.34,0.53,Eudicot
Plantago webbii,Plantago,547.68,0.56,Eudicot
Plantago reniformis,Plantago,655.26,0.67,Eudicot
Plantago major,Plantago,694.38,0.71,Eudicot
Plantago ovata,Plantago,782.4,0.8,Eudicot
Plantago cylindrica,Plantago,811.74,0.83,Eudicot
Plantago coronopus,Plantago,841.08,0.86,Eudicot
Plantago serraria,Plantago,880.2,0.9,Eudicot
Plantago crypsoides,Plantago,909.54,0.93,Eudicot
Plantago indica,Plantago,1085.58,1.11,Eudicot
Plantago arenaria,Plantago,1114.92,1.14,Eudicot
Plantago afra,Plantago,1124.7,1.15,Eudicot
Plantago psyllium,Plantago,1144.26,1.17,Eudicot
Plantago lanceolata,Plantago,1173.6,1.2,Eudicot
Plantago lagopus,Plantago,1222.5,1.25,Eudicot
Plantago notata,Plantago,1398.54,1.43,Eudicot
Plantago crassifolia,Plantago,1447.44,1.48,Eudicot
Plantago stepposa,Plantago,1594.14,1.63,Eudicot
Plantago albicans,Plantago,1907.1,1.95,Eudicot
Plantago media,Plantago,2718.84,2.78,Eudicot
Platanthera bifolia,Platanthera,6718.86,6.87,Monocot
Platanthera chlorantha,Platanthera,10816.68,11.06,Monocot
Platanus orientalis,Platanus,1271.4,1.3,Eudicot
Platanus hispanica,Platanus,1877.76,1.92,Eudicot
Pleione bulbocodioides (syn. = formosana),Pleione,5232.3,5.35,Monocot
Plocama pendula,Plocama,1418.1,1.45,Eudicot
Poa infirma,Poa,1154.04,1.18,Monocot
Poa supina,Poa,1349.64,1.38,Monocot
Poa imbecilla,Poa,2083.14,2.13,Monocot
Poa lindsayi,Poa,2210.28,2.26,Monocot
Poa breviglumis,Poa,2229.84,2.28,Monocot
Poa spania,Poa,2356.98,2.41,Monocot
Poa kirkii,Poa,2396.1,2.45,Monocot
Poa sublimis,Poa,2454.78,2.51,Monocot
Poa acicularifolia,Poa,2621.04,2.68,Monocot
Poa flabellata,Poa,2669.94,2.73,Monocot
Poa anceps,Poa,2669.94,2.73,Monocot
Poa maniototo,Poa,2689.5,2.75,Monocot
Poa matthewsii,Poa,2689.5,2.75,Monocot
Poa pusilla,Poa,2689.5,2.75,Monocot
Poa dipsacea,Poa,2738.4,2.8,Monocot
Poa incrassata,Poa,2738.4,2.8,Monocot
Poa trivialis,Poa,2767.74,2.83,Monocot
Poa colensoi,Poa,2767.74,2.83,Monocot
Poa buchananii,Poa,2767.74,2.83,Monocot
Poa ramosissima,Poa,2787.3,2.85,Monocot
Poa annua,Poa,2816.64,2.88,Monocot
Poa astonii,Poa,2924.22,2.99,Monocot
Poa foliosa,Poa,2934,3,Monocot
Poa intrusa,Poa,2943.78,3.01,Monocot
Poa aff. colensoi,Poa,2963.34,3.03,Monocot
Poa novae-zelandiae,Poa,3090.48,3.16,Monocot
Poa sudicola,Poa,3178.5,3.25,Monocot
Poa xenica,Poa,3266.52,3.34,Monocot
Poa pratensis,Poa,4146.72,4.24,Monocot
Poa pratensis,Poa,5261.64,5.38,Monocot
Poa schistacea,Poa,5388.78,5.51,Monocot
Poa cita,Poa,7335,7.5,Monocot
Poa aff. cita,Poa,8528.16,8.72,Monocot
Poa chathamica,Poa,10415.7,10.65,Monocot
Poa litorosa,Poa,15921.84,16.28,Monocot
Podophyllum emodi,Podophyllum,14347.26,14.67,Eudicot
Poellnitzia rubriflora,Poellnitzia,17115,17.5,Monocot
Polianthes geminiflora,Polianthes,4107.6,4.2,Monocot
Polianthes x brundrantii,Polianthes,4352.1,4.45,Monocot
Polianthes hybrid,Polianthes,4547.7,4.65,Monocot
Polianthes hybrid,Polianthes,4645.5,4.75,Monocot
Polianthes tuberosa,Polianthes,4743.3,4.85,Monocot
Polyalthia longifolia,Polyalthia,1105.14,1.13,Basal Angiosperm
Polyalthia suberosa,Polyalthia,1222.5,1.25,Basal Angiosperm
Polycarpaea carnosa,Polycarpaea,410.76,0.42,Eudicot
Polycarpaea latifolia,Polycarpaea,440.1,0.45,Eudicot
Polycarpaea tenuis,Polycarpaea,449.88,0.46,Eudicot
Polycarpaea aristata,Polycarpaea,459.66,0.47,Eudicot
Polycarpaea smithii,Polycarpaea,537.9,0.55,Eudicot
Polygala amara,Polygala,410.76,0.42,Eudicot
Polygala angustifolia,Polygala,420.54,0.43,Eudicot
Polygala calcarea,Polygala,420.54,0.43,Eudicot
Polygala vulgaris,Polygala,440.1,0.45,Eudicot
Polygala microphylla,Polygala,518.34,0.53,Eudicot
Polygala vayredae,Polygala,1330.08,1.36,Eudicot
Polygonatum verticillatum,Polygonatum,8254.32,8.44,Monocot
Polygonatum latifolium,Polygonatum,8899.8,9.1,Monocot
Polygonatum odoratum,Polygonatum,9613.74,9.83,Monocot
Polygonatum multiflorum,Polygonatum,15012.3,15.35,Monocot
Polygonatum franchetii,Polygonatum,30396.24,31.08,Monocot
Polygonum persicaria,Polygonum,420.54,0.43,Eudicot
Polygonum maritimum,Polygonum,489,0.5,Eudicot
Polygonum lapathifolium,Polygonum,684.6,0.7,Eudicot
Polygonum aviculare,Polygonum,831.3,0.85,Eudicot
Polylepis hieronymi,Polylepis,733.5,0.75,Eudicot
Polylepis microphylla,Polylepis,753.06,0.77,Eudicot
Polylepis neglecta,Polylepis,753.06,0.77,Eudicot
Polylepis pauta,Polylepis,772.62,0.79,Eudicot
Polylepis pepei,Polylepis,811.74,0.83,Eudicot
Polylepis sericea,Polylepis,811.74,0.83,Eudicot
Polylepis tomentella,Polylepis,1437.66,1.47,Eudicot
Polylepis australis,Polylepis,1467,1.5,Eudicot
Polylepis tarapacana,Polylepis,1476.78,1.51,Eudicot
Polylepis subsericans,Polylepis,1545.24,1.58,Eudicot
Polylepis racemosa,Polylepis,2806.86,2.87,Eudicot
Poncirus trifoliata,Poncirus,381.42,0.39,Eudicot
Pongamia glabra,Pongamia,1760.4,1.8,Eudicot
Pontederia cordata,Pontederia,782.4,0.8,Monocot
Populus tremula,Populus,440.1,0.45,Eudicot
Populus canescens,Populus,459.66,0.47,Eudicot
Populus trichocarpa,Populus,479.22,0.49,Eudicot
Populus alba,Populus,508.56,0.52,Eudicot
Populus nigra,Populus,528.12,0.54,Eudicot
Portenschlagiella ramosissima,Portenschlagiella,6425.46,6.57,Eudicot
Portulaca oleraceae,Portulaca,1643.04,1.68,Eudicot
Posidonia oceanica,Posidonia,3061.14,3.13,Monocot
Potamogeton crispus,Potamogeton,518.34,0.53,Monocot
Potentilla fruticosa,Potentilla,391.2,0.4,Eudicot
Potentilla tommasiniana,Potentilla,547.68,0.56,Eudicot
Potentilla malyana,Potentilla,557.46,0.57,Eudicot
Potentilla alba,Potentilla,704.16,0.72,Eudicot
Potentilla hirta,Potentilla,1046.46,1.07,Eudicot
Potentilla indica,Potentilla,1750.62,1.79,Eudicot
Pratia pedunculata,Pratia,2474.34,2.53,Eudicot
Pratia macrodon,Pratia,2934,3,Eudicot
Pratia perpusilla,Pratia,3158.94,3.23,Eudicot
Pratia arenaria,Pratia,4821.54,4.93,Eudicot
Pratia angulata,Pratia,4938.9,5.05,Eudicot
Pratia angulata,Pratia,9388.8,9.6,Eudicot
Premna latifolia,Premna,1515.9,1.55,Eudicot
Primula vulgaris,Primula,459.66,0.47,Eudicot
Primula veris,Primula,479.22,0.49,Eudicot
Prinsepia uniflora,Prinsepia,1515.9,1.55,Eudicot
Pritzelago alpina,Pritzelago,185.82,0.19,Eudicot
Proboscidea louisiana,Proboscidea,479.22,0.49,Eudicot
Prosartes smithii,Prosartes,3325.2,3.4,Monocot
Prosopis flexusa,Prosopis,391.2,0.4,Eudicot
Prosopis alba,Prosopis,420.54,0.43,Eudicot
Prosopis lampa,Prosopis,420.54,0.43,Eudicot
Prosopis pallida,Prosopis,420.54,0.43,Eudicot
Prosopis chilensis,Prosopis,420.54,0.43,Eudicot
Prosopis juliflora,Prosopis,420.54,0.43,Eudicot
Prosopis glandulosa,Prosopis,420.54,0.43,Eudicot
Prosopis velutina,Prosopis,420.54,0.43,Eudicot
Prosopis siliquas,Prosopis,489,0.5,Eudicot
Prosopis chilensis,Prosopis,831.3,0.85,Eudicot
Prosopis cineraria,Prosopis,1251.84,1.28,Eudicot
Prosopis juliflora,Prosopis,1662.6,1.7,Eudicot
Prospero obtusifolium,Prospero,4743.3,4.85,Monocot
Prospero elisae,Prospero,10229.88,10.46,Monocot
Protium serratum,Protium,919.32,0.94,Eudicot
Protoedraianthus tarae,Protoedraianthus,1496.34,1.53,Eudicot
Prunella vulgaris,Prunella,635.7,0.65,Eudicot
Prunus persica,Prunus,273.84,0.28,Eudicot
Prunus tomentosa,Prunus,283.62,0.29,Eudicot
Prunus armeniaca,Prunus,293.4,0.3,Eudicot
Prunus subhirtella,Prunus,293.4,0.3,Eudicot
Prunus hortulana,Prunus,293.4,0.3,Eudicot
Prunus kansuensis,Prunus,293.4,0.3,Eudicot
Prunus angustifolia,Prunus,303.18,0.31,Eudicot
Prunus davidiana,Prunus,303.18,0.31,Eudicot
Prunus cistena,Prunus,312.96,0.32,Eudicot
Prunus mira,Prunus,322.74,0.33,Eudicot
Prunus dulcis,Prunus,322.74,0.33,Eudicot
Prunus domestica,Prunus,322.74,0.33,Eudicot
Prunus besseyi,Prunus,332.52,0.34,Eudicot
Prunus avium,Prunus,342.3,0.35,Eudicot
Prunus mahaleb,Prunus,342.3,0.35,Eudicot
Prunus fenzliana,Prunus,371.64,0.38,Eudicot
Prunus webbii,Prunus,381.42,0.39,Eudicot
Prunus serotina,Prunus,489,0.5,Eudicot
Prunus prostrata,Prunus,557.46,0.57,Eudicot
Prunus cerasus,Prunus,616.14,0.63,Eudicot
Prunus spinosa,Prunus,635.7,0.65,Eudicot
Prunus domestica,Prunus,909.54,0.93,Eudicot
Prunus padus,Prunus,1154.04,1.18,Eudicot
Prunus laurocerasus,Prunus,3569.7,3.65,Eudicot
Psathyrostachys juncea,Psathyrostachys,7628.4,7.8,Monocot
Psathyrostachys fragilis,Psathyrostachys,8215.2,8.4,Monocot
Psathyrostachys stoloniformis,Psathyrostachys,8753.1,8.95,Monocot
Psephellus marschallianus,Psephellus,1750.62,1.79,Eudicot
Pseudobombax ellipticum,Pseudobombax,1711.5,1.75,Eudicot
Pseudolobivia sp.,Pseudolobivia,1594.14,1.63,Eudicot
Pseudophoenix sargentii,Pseudophoenix,2767.74,2.83,Monocot
Pseudoroegneria libanotica,Pseudoroegneria,3892.44,3.98,Monocot
Pseudoroegneria stipifolia,Pseudoroegneria,3912,4,Monocot
Pseudoroegneria spicata,Pseudoroegneria,4449.9,4.55,Monocot
Pseudoroegneria strigosa,Pseudoroegneria,4625.94,4.73,Monocot
Pseudoroegneria geniculata,Pseudoroegneria,8557.5,8.75,Monocot
Pseudoturritis turrita,Pseudoturritis,371.64,0.38,Eudicot
Psidium guajava,Psidium,273.84,0.28,Eudicot
Psidium cattleianum,Psidium,518.34,0.53,Eudicot
Psidium acutangulum,Psidium,567.24,0.58,Eudicot
Psilanthus ebracteolatus,Psilanthus,567.24,0.58,Eudicot
Psophocarpus tetragonolobus,Psophocarpus,782.4,0.8,Eudicot
Psychine stylosa,Psychine,498.78,0.51,Eudicot
Psychotria ipecacuanha,Psychotria,1007.34,1.03,Eudicot
Psygmorchis pusilla,Psygmorchis,1467,1.5,Monocot
Ptelea baldwinii,Ptelea,1026.9,1.05,Eudicot
Pterocephalus lasiospermus,Pterocephalus,1613.7,1.65,Eudicot
Pterocephalus virens,Pterocephalus,1711.5,1.75,Eudicot
Pterocephalus dumetorum,Pterocephalus,1740.84,1.78,Eudicot
Pterospartum tridentatum,Pterospartum,2268.96,2.32,Eudicot
Pterospermum lanceifolium,Pterospermum,782.4,0.8,Eudicot
Pterostyrax psilophylla,Pterostyrax,870.42,0.89,Eudicot
Ptilotrichum spinosum,Ptilotrichum,616.14,0.63,Eudicot
Ptilotrichum canescens,Ptilotrichum,2210.28,2.26,Eudicot
Ptilotus atriplicifolius,Ptilotus,3276.3,3.35,Eudicot
Puccinellia stricta,Puccinellia,1740.84,1.78,Monocot
Puccinellia palustris,Puccinellia,3990.24,4.08,Monocot
Puccinellia walkeri,Puccinellia,4704.18,4.81,Monocot
Pueraria lobata,Pueraria,1075.8,1.1,Eudicot
Pulmonaria officinalis,Pulmonaria,1555.02,1.59,Eudicot
Pulmonaria longifolia,Pulmonaria,1858.2,1.9,Eudicot
Pulsatilla nuttalliana,Pulsatilla,4254.3,4.35,Eudicot
Pulsatilla apiifolia,Pulsatilla,4449.9,4.55,Eudicot
Pulsatilla patens,Pulsatilla,4498.8,4.6,Eudicot
Pulsatilla occidentalis,Pulsatilla,5066.04,5.18,Eudicot
Pulsatilla alpina,Pulsatilla,12616.2,12.9,Eudicot
Pulsatilla grandis,Pulsatilla,13007.4,13.3,Eudicot
Pulsatilla vulgaris,Pulsatilla,17017.2,17.4,Eudicot
Pultenaea daphnoides,Pultenaea,704.16,0.72,Eudicot
Pultenaea flexilis,Pultenaea,2523.24,2.58,Eudicot
Punica granatum,Punica,704.16,0.72,Eudicot
Puschkinia scilloides,Puschkinia,6484.14,6.63,Monocot
Putoria calabrica,Putoria,616.14,0.63,Eudicot
Putranjiva roxburghii,Putranjiva,831.3,0.85,Eudicot
Puya mirabilis,Puya,430.32,0.44,Monocot
Puya stenothyrsa,Puya,459.66,0.47,Monocot
Pyracantha coccinea,Pyracantha,684.6,0.7,Eudicot
Pyrrhanthera exigua,Pyrrhanthera,10523.28,10.76,Monocot
Pyrrhopappus carolinianus,Pyrrhopappus,6141.84,6.28,Eudicot
Pyrrhopappus multicaulis,Pyrrhopappus,6503.7,6.65,Eudicot
Pyrus communis,Pyrus,537.9,0.55,Eudicot
Pyrus elaeagrifolia,Pyrus,567.24,0.58,Eudicot
Pyrus calleryana,Pyrus,616.14,0.63,Eudicot
Quercus sessilis,Quercus,489,0.5,Eudicot
Quercus petraea,Quercus,782.4,0.8,Eudicot
Quercus pyrenaica,Quercus,821.52,0.84,Eudicot
Quercus rubra,Quercus,831.3,0.85,Eudicot
Quercus robur,Quercus,909.54,0.93,Eudicot
Quercus pubescens,Quercus,909.54,0.93,Eudicot
Quercus suber,Quercus,929.1,0.95,Eudicot
Quercus cerris,Quercus,929.1,0.95,Eudicot
Quercus ilex,Quercus,978,1,Eudicot
Quercus coccifera,Quercus,978,1,Eudicot
Quillaja saponaria,Quillaja,410.76,0.42,Eudicot
